id,participant_name,status,is_presignup,created_at
1,Joe ,rejected,f,2026-02-06 01:46:53.880374
2,Joe,completed,f,2026-02-06 01:47:33.514275
3,Nat,completed,f,2026-02-06 03:01:36.695018
4,Joe Shmoe,completed,f,2026-02-06 17:34:00.89584
5,Joe,completed,f,2026-02-23 16:31:46.565505
6,Hot Pantz,completed,f,2026-03-12 15:36:33.614675
7,Joe,completed,t,2026-04-24 23:05:55.55681
8,asdf,rejected,f,2026-05-11 19:41:44.92156
9,asdf,rejected,f,2026-05-11 19:41:56.44864
10,asdf,rejected,f,2026-05-11 23:00:24.029477
11,joe,approved,f,2026-06-11 22:46:32.451085
12,test,pending,f,2026-06-12 15:42:41.891798
