id,title,artist,spotify_url,genre,song_group,is_duet,is_solo,is_active,created_at
53,Hotel California,Eagles,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,"classic rock,yacht rock,soft rock",,f,f,t,2026-04-24 22:19:38.177208
70,Rock the Casbah,The Clash,https://open.spotify.com/track/56KqaFSGTb7ifpt16t5Y1N,punk,,f,f,t,2026-04-24 22:19:39.352664
162,Let It Go,Frozen (Idina Menzel),https://open.spotify.com/track/0qcr5FMsEO85NAQjrlDRKo?si=21612f80be3f4181,"Pop, Disney, Show Tune, Power Ballad",Disney / Kids,f,f,t,2026-05-27 03:27:05.642968
41,Another One Bites The Dust,Queen,https://open.spotify.com/track/5Lsg8jlCoTyxRch9LvJo3E,"classic rock,rock,glam rock",,f,f,t,2026-04-24 22:19:37.419039
42,Attention,Charlie Puth,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,soft pop,,f,f,t,2026-04-24 22:19:37.483646
43,Celebrity Skin,Hole,https://open.spotify.com/track/2V4Bc2I962j7acQj1N0PiQ,"riot grrrl,grunge",,f,f,t,2026-04-24 22:19:37.546992
44,Creep,Radiohead,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,"art rock,alternative rock",,f,f,t,2026-04-24 22:19:37.606943
45,Don't Speak,No Doubt,https://open.spotify.com/track/6urCAbunOQI4bLhmGpX7iS,"",,f,f,t,2026-04-24 22:19:37.66601
46,Don't Stop Believin',Journey,https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg,"aor,classic rock",,f,f,t,2026-04-24 22:19:37.726805
47,Everybody Wants To Rule The World,Tears For Fears,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,"new wave,synthpop",,f,f,t,2026-04-24 22:19:37.793164
48,Genie In a Bottle,Christina Aguilera,https://open.spotify.com/track/11mwFrKvLXCbcVGNxffGyP,"",,f,f,t,2026-04-24 22:19:37.859734
49,Ghostbusters,Ray Parker Jr.,https://open.spotify.com/track/3m0y8qLoznUYi73SUBP8GI,"",,f,f,t,2026-04-24 22:19:37.92432
50,Grenade,Bruno Mars,https://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ,"",,f,f,t,2026-04-24 22:19:37.990785
51,I Heard It Through The Grapevine,Marvin Gaye,https://open.spotify.com/track/1tqT6DhmsrtQgyCKUwotiw,"motown,classic soul,soul,northern soul,quiet storm",,f,f,t,2026-04-24 22:19:38.05693
52,Highway Star,Deep Purple,https://open.spotify.com/track/4gVTozEmzwAUXpwj3jEetX,"hard rock,classic rock,rock",,f,f,t,2026-04-24 22:19:38.118056
